"Mineral Name","Mineral Name (plain)","IMA Chemistry (HTML)","Chemistry Elements","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Crystal Systems","Space Groups","IMA Mineral Symbol","Paragenetic Modes"
"Actinolite","Actinolite","<span style=""border: 1px solid #333; font-size:7px;"">   </span>Ca<sub>2</sub>(Mg<sub>4.5-2.5</sub>Fe<sup>2+</sup><sub>0.5-2.5</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","Ca Mg Fe Si O H","1794","Approved,Redefined","Amphibole","amphibole-group 2 Ca","monoclinic","C2/m","Act","Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, PM8 - Mafic igneous rocks, Stage 3b: Earth's earliest hydrosphere, PM16 - Low-T aqueous alteration, Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism, PM40 - Regional metamorphism"
"Acuminite","Acuminite","SrAlF<sub>4</sub>(OH)·H<sub>2</sub>O","Sr Al F O H","1986","Approved","Tikhonenkovite"," ","monoclinic","C2/c","Acu","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)"
"Adachiite","Adachiite","CaFe<sup>2+</sup><sub>3</sub>Al<sub>6</sub>(Si<sub>5</sub>AlO<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>(OH)","Ca Fe Al Si O B H","2012","Approved","Tourmaline"," ","hexagonal","R3m","Adc","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Adamite","Adamite","Zn<sub>2</sub>(AsO<sub>4</sub>)(OH)","Zn As O H","1866","Approved,Grandfathered","Andalusite","olivenite","orthorhombic","Pnnm","Ad","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Adamsite-(Y)","Adamsite-(Y)","NaY(CO<sub>3</sub>)<sub>2</sub>·6H<sub>2</sub>O","Na Y C O H","1999","Approved","Not in a structural group"," ","triclinic","P1|P-1","Ads-Y","Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Adanite","Adanite","Pb<sub>2</sub>(Te<sup>4+</sup>O<sub>3</sub>)(SO<sub>4</sub>)","Pb Te O S","2019","Approved"," "," ","monoclinic","P2_1/n","Adn","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Addibischoffite","Addibischoffite","Ca<sub>2</sub>Al<sub>6</sub>Al<sub>6</sub>O<sub>20</sub>","Ca Al O","2015","Approved","Sapphirine"," ","triclinic","P-1","Add","Abiotic, Primary; Stage 1: Primary nebular phases, PM3 - Solar nebular condensates"
"Adelite","Adelite","CaMg(AsO<sub>4</sub>)(OH)","Ca Mg As O H","1891","Approved,Grandfathered","Adelite","adelite-descloizite-adelite subgroup","orthorhombic","P2_12_12_1","Ade","Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Admontite","Admontite","MgB<sub>6</sub>O<sub>10</sub>·7H<sub>2</sub>O","Mg B O H","1978","Approved","Not in a structural group"," ","monoclinic","P2_1/c","Amt","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)"
"Adolfpateraite","Adolfpateraite","K(UO<sub>2</sub>)(SO<sub>4</sub>)(OH)(H<sub>2</sub>O)","K U O S H","2011","Approved","Not in a structural group"," ","monoclinic","P2_1/c","Adp","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
"Adranosite","Adranosite","(NH<sub>4</sub>)<sub>4</sub>NaAl<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>Cl(OH)<sub>2</sub>","N H Na Al S O Cl","2008","Approved","Adranosite"," ","tetragonal","I4_1/acd","Arn","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
"Adranosite-(Fe)","Adranosite-(Fe)","(NH<sub>4</sub>)<sub>4</sub>NaFe<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>Cl(OH)<sub>2</sub>","N H Na Fe S O Cl","2011","Approved","Adranosite"," ","tetragonal","I4_1/acd","Arn-Fe","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Adrianite","Adrianite","Ca<sub>12</sub>(Al<sub>4</sub>Mg<sub>3</sub>Si<sub>7</sub>)O<sub>32</sub>Cl<sub>6</sub>","Ca Al Mg Si O Cl","2014","Approved"," "," ","cubic","I-43d","Adt","Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases"
"Aegirine","Aegirine","NaFe<sup>3+</sup>Si<sub>2</sub>O<sub>6</sub>","Na Fe Si O","1835","Approved","Pyroxene","pyroxene","monoclinic","C2/c","Aeg","Abiotic, Biotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
"Aegirine-augite","Aegirine-augite","(Ca,Na)(Fe<sup>3+</sup>,Mg,Fe<sup>2+</sup>)Si<sub>2</sub>O<sub>6</sub>","Ca Na Fe Mg Si O","1892","Approved,Redefined","Pyroxene","pyroxene","monoclinic","C2/c","Aeg-Aug","Abiotic, Biotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
"Aenigmatite","Aenigmatite","Na<sub>4</sub>[Fe<sup>2+</sup><sub>10</sub>Ti<sub>2</sub>]O<sub>4</sub>[Si<sub>12</sub>O<sub>36</sub>]","Na Fe Ti O Si","1865","Approved","Sapphirine","aenigmatite","triclinic","P-1","Aen","Abiotic, Primary, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM20 - Acidic volcanic rocks, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites"
"Aerinite","Aerinite","(Ca,Na)<sub>6</sub>(Fe<sup>3+</sup>,Fe<sup>2+</sup>,Mg,Al)<sub>4</sub>(Al,Mg)<sub>6</sub>Si<sub>12</sub>O<sub>36</sub>(OH)<sub>12</sub>(CO<sub>3</sub>)·12H<sub>2</sub>O","Ca Na Fe Mg Al Si O H C","1876","Approved,Redefined","Not in a structural group"," ","hexagonal","P3c1","Aer","Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM10 - Basalt-hosted zeolite minerals"
"Aerugite","Aerugite","Ni<sub>8.5</sub>(AsO<sub>4</sub>)<sub>2</sub>As<sup>5+</sup>O<sub>8</sub>","Ni As O","1858","Approved,Redefined","Not in a structural group"," ","hexagonal","R-3m","Aru","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Aeschynite-(Ce)","Aeschynite-(Ce)","(Ce,Ca,Fe,Th)(Ti,Nb)<sub>2</sub>(O,OH)<sub>6</sub>","Ce Ca Fe Th Ti Nb O H","1830","Approved,Renamed","Aeschynite","aeschynite","orthorhombic","","Aes-Ce","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites"
"Aeschynite-(Nd)","Aeschynite-(Nd)","(Nd,Ln,Ca)(Ti,Nb)<sub>2</sub>(O,OH)<sub>6</sub>","Nd Ln Ca Ti Nb O H","1982","Approved","Aeschynite","aeschynite","orthorhombic","Pbmn|Pncm","Aes-Nd","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Aeschynite-(Y)","Aeschynite-(Y)","(Y,Ln,Ca,Th)(Ti,Nb)<sub>2</sub>(O,OH)<sub>6</sub>","Y Ln Ca Th Ti Nb O H","1906","Approved,Renamed","Aeschynite","aeschynite","orthorhombic|amorphous","Pnma","Aes-Y","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM36 - Carbonatites & kimberlites"
"Afghanite","Afghanite","(Na,K)<sub>22</sub>Ca<sub>10</sub>(Si<sub>24</sub>Al<sub>24</sub>)O<sub>96</sub>(SO<sub>4</sub>)<sub>6</sub>Cl<sub>6</sub>","Na K Ca Si Al O S Cl","1967","Approved","Cancrinite-sodalite","cancrinite-sodalite","hexagonal","P31c","Afg","Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Afmite","Afmite","Al<sub>3</sub>(OH)<sub>4</sub>(H<sub>2</sub>O)<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)·H<sub>2</sub>O","Al O H P","2005","Approved"," "," ","triclinic","P-1","Afm","Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM21 - Chemical precipitation, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Afwillite","Afwillite","Ca<sub>3</sub>[SiO<sub>4</sub>][SiO<sub>2</sub>(OH)<sub>2</sub>]·2H<sub>2</sub>O","Ca Si O H","1925","Approved,Grandfathered","Spurrite-Afwillite"," ","monoclinic|triclinic","Cc|P1","Afw","Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
"Agaite","Agaite","Pb<sub>3</sub>Cu<sup>2+</sup>Te<sup>6+</sup>O<sub>5</sub>(OH)<sub>2</sub>(CO<sub>3</sub>)","Pb Cu Te O H C","2011","Approved","Not in a structural group"," ","orthorhombic","Pca2_1","Aga","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Agakhanovite-(Y)","Agakhanovite-(Y)","YCa<span style=""border: 1px solid #333; font-size:7px;"">   </span><sub>2</sub>KBe<sub>3</sub>Si<sub>12</sub>O<sub>30</sub>","Y Ca K Be Si O","2013","Approved","Milarite"," ","hexagonal","P6/mcc","Agk-Y","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Agardite-(Ce)","Agardite-(Ce)","CeCu<sup>2+</sup><sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O","Ce Cu As O H","2003","Approved","Mixite","mixite","hexagonal","P6_3/m","Agr-Ce","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Agardite-(La)","Agardite-(La)","LaCu<sup>2+</sup><sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O","La Cu As O H","1980","Approved","Mixite","mixite","hexagonal","P6_3/m","Agr-La","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Agardite-(Nd)","Agardite-(Nd)","NdCu<sup>2+</sup><sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O","Nd Cu As O H","2010","Approved","Mixite"," ","hexagonal","P6_3/m","Agr-Nd","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Agardite-(Y)","Agardite-(Y)","YCu<sup>2+</sup><sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O","Y Cu As O H","1968","Approved,Renamed","Mixite","mixite","hexagonal","P6_3/m","Agr-Y","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Agmantinite","Agmantinite","Ag<sub>2</sub>MnSnS<sub>4</sub>","Ag Mn Sn S","2014","Approved","Wurtzite"," ","orthorhombic|monoclinic","Pn|P2_1nm","Agm","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Agrellite","Agrellite","NaCa<sub>2</sub>Si<sub>4</sub>O<sub>10</sub>F","Na Ca Si O F","1973","Approved","Not in a structural group"," ","triclinic","P-1","Are","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Agricolaite","Agricolaite","K<sub>4</sub>(UO<sub>2</sub>)(CO<sub>3</sub>)<sub>3</sub>","K U O C","2009","Approved","Not in a structural group"," ","monoclinic","C2/c","Agc","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Agrinierite","Agrinierite","K<sub>2</sub>Ca[(UO<sub>2</sub>)<sub>3</sub>O<sub>3</sub>(OH)<sub>2</sub>]<sub>2</sub>·5H<sub>2</sub>O","K Ca U O H","1971","Approved","Compreignacite"," ","orthorhombic","F2mm","Agn","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Aguilarite","Aguilarite","Ag<sub>4</sub>SeS","Ag Se S","1891","Approved,Grandfathered","Acanthite","eucairite","monoclinic|orthorhombic","P2_12_12_1|P2_1/n","Agu","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Aheylite","Aheylite","Fe<sup>2+</sup>Al<sub>6</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>8</sub>·4H<sub>2</sub>O","Fe Al P O H","1984","Approved","Turquoise","turquoise","triclinic","P-1","Ahe","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Ahlfeldite","Ahlfeldite","Ni(SeO<sub>3</sub>)·2H<sub>2</sub>O","Ni Se O H","1935","Approved,Grandfathered","Cobaltomenite","cobaltomenite","monoclinic","P2_1/n","Afe","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Ahrensite","Ahrensite","SiFe<sub>2</sub>O<sub>4</sub>","Si Fe O","2013","Approved","Spinel"," ","cubic","Fd-3m|Fd3m","Ahr","Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases"
"Aikinite","Aikinite","CuPbBiS<sub>3</sub>","Cu Pb Bi S","1843","Approved,Grandfathered","Meneghinite","aikinite","orthorhombic","Pnma","Aik","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Aiolosite","Aiolosite","Na<sub>2</sub>(Na<sub>2</sub>Bi)(SO<sub>4</sub>)<sub>3</sub>Cl","Na Bi S O Cl","2008","Approved","Apatite"," ","hexagonal","P6_3/m","Aio","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Airdite","Airdite","Sr(V<sup>4+</sup>O)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O","Sr V O P H","2020","Approved,Pending publication"," "," ","monoclinic","Cc","Air","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Ajoite","Ajoite","K<sub>3</sub>Cu<sup>2+</sup><sub>20</sub>Al<sub>3</sub>Si<sub>29</sub>O<sub>76</sub>(OH)<sub>16</sub>·8H<sub>2</sub>O","K Cu Al Si O H","1958","Approved","Ajoite"," ","triclinic","P-1","Aj","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Akaganeite","Akaganeite","(Fe<sup>3+</sup>,Ni<sup>2+</sup>)<sub>8</sub>(OH,O)<sub>16</sub>Cl<sub>1.25</sub>·nH<sub>2</sub>O","Fe Ni O H Cl","1962","Approved,Renamed","Coronadite"," ","monoclinic|tetragonal","I2/m|I4/m, C2/m","Akg","Abiotic, Biotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM14 - Hot springs & geysers, Stage 5: Initiation of plate tectonics, PM42 - Sea-floor Mn nodules, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals"
"Akaogiite","Akaogiite","TiO<sub>2</sub>","Ti O","2007","Approved","Baddeleyite"," ","monoclinic","P2_1/c","Aka","Abiotic; Stage 4a: Earth's earliest continental crust, PM30 - Terrestrial impact minerals"
"Akatoreite","Akatoreite","Mn<sup>2+</sup><sub>9</sub>Al<sub>2</sub>Si<sub>8</sub>O<sub>24</sub>(OH)<sub>8</sub>","Mn Al Si O H","1969","Approved","Not in a structural group"," ","triclinic","P-1","Akt","Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Akdalaite","Akdalaite","Al<sub>10</sub>O<sub>14</sub>(OH)<sub>2</sub>","Al O H","1969","Approved","Nolanite"," ","hexagonal|orthorhombic","P6_3mc|Cmc2_1, P31c","Akd","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration"
"Åkermanite","Akermanite","Ca<sub>2</sub>MgSi<sub>2</sub>O<sub>7</sub>","Ca Mg Si O","1884","Approved,Grandfathered","Melilite","melilite","tetragonal","P-42_1m","Åk","Abiotic, Biotic, Primary, Secondary; Stage 1: Primary nebular phases, PM3 - Solar nebular condensates, Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
"Akhtenskite","Akhtenskite","MnO<sub>2</sub>","Mn O","1982","Approved","Feroxyhyte"," ","hexagonal","P6_3mc","Akh","Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 5: Initiation of plate tectonics, PM42 - Sea-floor Mn nodules, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Akimotoite","Akimotoite","MgSiO<sub>3</sub>","Mg Si O","1997","Approved","Corundum"," ","hexagonal","R-3","Aki","Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases"
"Aklimaite","Aklimaite","Ca<sub>4</sub>[Si<sub>2</sub>O<sub>5</sub>(OH)<sub>2</sub>](OH)<sub>4</sub>·5H<sub>2</sub>O","Ca Si O H","2011","Approved","Not in a structural group"," ","monoclinic","C2/m","Akm","Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM10 - Basalt-hosted zeolite minerals"
"Akopovaite","Akopovaite","Al<sub>4</sub>Li<sub>2</sub>(OH)<sub>12</sub>(CO<sub>3</sub>)(H<sub>2</sub>O)<sub>3</sub>","Al Li O H C","2018","Approved","Hydrotalcite"," ","monoclinic","C2/m","Av","Biotic, Secondary; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals"
"Akrochordite","Akrochordite","Mn<sup>2+</sup><sub>5</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>·4H<sub>2</sub>O","Mn As O H","1922","Approved,Grandfathered","Akrochordite"," ","monoclinic","P2_1/c","Akr","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Aksaite","Aksaite","MgB<sub>6</sub>O<sub>7</sub>(OH)<sub>6</sub>·2H<sub>2</sub>O","Mg B O H","1962","Approved","Not in a structural group"," ","orthorhombic","Pbca","Aks","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)"
"Aktashite","Aktashite","Cu<sub>6</sub>Hg<sub>3</sub>As<sub>4</sub>S<sub>12</sub>","Cu Hg As S","1968","Approved,Redefined","Nowackiite","nowackiite","hexagonal","R3","Ats","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Alabandite","Alabandite","MnS","Mn S","1822","Approved,Grandfathered","Rocksalt","galena","cubic","Fm3m","Abd","Abiotic, Primary, Secondary; Stage 1: Primary nebular phases, PM4 - Primary chondrule phases, Stage 2: Planetesimal differentiation & alteration, PM5 - Primary asteroid phases, Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits, Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites"
